idade,renda,propriedade_casa,tempo_emprego,intencao_emprestimo,classificacao,vlr_emprestimo,tx_juros,status_emprestimo,pct_renda_emprestimo,inadimplencia_arquivada,hist_credito,nivel_risco,faixa_renda,faixa_emprestimo,alerta_comprometimento,faixa_hist_credito
23.0,11000,Propria,0.0,Pessoal,A,1400,9.32,0,0.13,Não,3,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Curto
24.0,65000,Alugada,6.0,Reforma,B,32500,9.99,1,0.5,Não,3,Risco Baixo,Alta,Muito Alto,True,Curto
21.0,11389,Outros,5.0,Educacão,C,4000,12.84,1,0.35,Sim,2,Risco Médio-Baixo,Muito Baixa,Baixo,False,Muito Curto
21.0,11520,Propria,5.0,Saúde,B,2000,11.12,1,0.17,Não,3,Risco Baixo,Muito Baixa,Muito Baixo,False,Curto
25.0,120000,Alugada,2.0,,A,32000,6.62,0,0.27,Não,2,Risco Muito Baixo,Muito Alta,Muito Alto,False,Muito Curto
26.0,95000,Alugada,7.0,Reforma,C,31050,14.17,1,0.33,Sim,3,Risco Médio-Baixo,Muito Alta,Muito Alto,False,Curto
25.0,306000,Alugada,2.0,Consolidação de dívidas,C,24250,13.85,0,0.08,Não,3,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
26.0,300000,Financiada,10.0,Saúde,C,7800,13.49,0,0.03,Não,4,Risco Médio-Baixo,Muito Alta,Médio,False,Curto
21.0,12000,Propria,5.0,Educacão,A,2500,7.51,1,0.21,Não,4,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Curto
22.0,48000,Alugada,1.0,Educacão,E,30000,18.39,1,0.63,Não,2,Risco Médio-Alto,Baixa,Alto,True,Muito Curto
24.0,64000,Alugada,8.0,Consolidação de dívidas,D,30000,14.54,1,0.47,Sim,3,Risco Médio,Alta,Alto,True,Curto
25.0,75000,Alugada,4.0,Reforma,D,30000,16.89,1,0.4,Sim,4,Risco Médio,Alta,Alto,True,Curto
23.0,71500,Alugada,3.0,Consolidação de dívidas,D,30000,,1,0.42,Não,4,Risco Médio,Alta,Alto,True,Curto
26.0,62050,Alugada,6.0,Saúde,E,30000,17.99,1,0.41,Não,2,Risco Médio-Alto,Média,Alto,True,Muito Curto
24.0,12000,Propria,4.0,,B,2500,12.69,1,0.21,Não,3,Risco Baixo,Muito Baixa,Muito Baixo,False,Curto
26.0,300000,Financiada,10.0,,A,20000,7.88,0,0.07,Não,4,Risco Muito Baixo,Muito Alta,Alto,False,Curto
23.0,300000,Propria,1.0,Educacão,F,24250,19.41,0,0.08,Sim,2,Risco Alto,Muito Alta,Alto,False,Muito Curto
26.0,300000,Propria,9.0,Reforma,B,10000,10.38,0,0.03,Não,4,Risco Baixo,Muito Alta,Médio,False,Curto
26.0,300000,Financiada,0.0,Educacão,D,25000,15.33,0,0.08,Não,3,Risco Médio,Muito Alta,Alto,False,Curto
25.0,300000,Financiada,9.0,Reforma,E,18000,16.45,0,0.06,Não,3,Risco Médio-Alto,Muito Alta,Alto,False,Curto
26.0,80690,Alugada,8.0,Pessoal,A,30000,7.49,1,0.37,Não,3,Risco Muito Baixo,Alta,Alto,False,Curto
22.0,66300,Alugada,4.0,Saúde,B,30000,12.69,1,0.38,Não,3,Risco Baixo,Alta,Alto,False,Curto
26.0,89028,Alugada,0.0,Consolidação de dívidas,A,30000,6.62,1,0.34,Não,3,Risco Muito Baixo,Muito Alta,Alto,False,Curto
24.0,78000,Alugada,4.0,Consolidação de dívidas,D,30000,,1,0.38,Sim,4,Risco Médio,Alta,Alto,False,Curto
23.0,78000,Alugada,7.0,Consolidação de dívidas,F,30000,18.62,1,0.38,Sim,3,Risco Alto,Alta,Alto,False,Curto
23.0,92004,Alugada,6.0,Pessoal,C,30000,15.23,1,0.33,Sim,3,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
23.0,97000,Alugada,7.0,,B,30000,10.65,1,0.31,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
25.0,120000,Alugada,9.0,Educacão,A,30000,7.9,0,0.25,Não,4,Risco Muito Baixo,Muito Alta,Alto,False,Curto
26.0,280000,Alugada,4.0,Pessoal,C,10000,15.96,0,0.04,Sim,3,Risco Médio-Baixo,Muito Alta,Médio,False,Curto
26.0,277104,Alugada,0.0,,B,20000,11.48,0,0.07,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
23.0,277000,Propria,3.0,Pessoal,A,35000,,0,0.13,Não,4,Risco Muito Baixo,Muito Alta,Muito Alto,False,Curto
25.0,128000,Alugada,9.0,Pessoal,A,30000,7.29,0,0.23,Não,4,Risco Muito Baixo,Muito Alta,Alto,False,Curto
24.0,12000,Propria,2.0,,E,1750,,0,0.15,Sim,3,Risco Médio-Alto,Muito Baixa,Muito Baixo,False,Curto
21.0,131000,Alugada,0.0,,A,30000,5.99,0,0.23,Não,4,Risco Muito Baixo,Muito Alta,Alto,False,Curto
22.0,275000,Propria,6.0,,B,12000,11.58,0,0.04,Não,2,Risco Baixo,Muito Alta,Médio,False,Muito Curto
26.0,263000,Financiada,0.0,Educacão,B,10000,,1,0.04,Não,4,Risco Baixo,Muito Alta,Médio,False,Curto
25.0,221850,Financiada,9.0,Saúde,D,25000,15.7,1,0.1,Não,2,Risco Médio,Muito Alta,Alto,False,Muito Curto
22.0,70000,Alugada,6.0,Educacão,D,29100,15.99,1,0.42,Não,3,Risco Médio,Alta,Alto,True,Curto
22.0,12000,Financiada,7.0,Educacão,D,1500,14.84,0,0.13,Sim,3,Risco Médio,Muito Baixa,Muito Baixo,False,Curto
26.0,260000,Propria,10.0,Reforma,B,28000,10.99,0,0.11,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
25.0,259000,Financiada,9.0,Reforma,D,20000,14.42,0,0.08,Sim,2,Risco Médio,Muito Alta,Alto,False,Muito Curto
24.0,255000,Financiada,9.0,Educacão,A,9600,6.99,0,0.04,Não,2,Risco Muito Baixo,Muito Alta,Médio,False,Muito Curto
25.0,250000,Alugada,2.0,Saúde,C,25000,13.49,0,0.1,Não,4,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
25.0,12000,Propria,0.0,Saúde,C,3000,,1,0.25,Não,3,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Curto
22.0,56950,Alugada,6.0,Saúde,A,28000,,1,0.49,Não,2,Risco Muito Baixo,Média,Alto,True,Muito Curto
21.0,12000,Propria,6.0,Educacão,C,3000,13.61,1,0.25,Sim,3,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Curto
23.0,65000,Alugada,2.0,Educacão,A,28000,7.9,1,0.43,Não,2,Risco Muito Baixo,Alta,Alto,True,Muito Curto
26.0,85000,Alugada,2.0,,A,28000,7.49,1,0.33,Não,3,Risco Muito Baixo,Alta,Alto,False,Curto
26.0,12000,Propria,2.0,Educacão,A,6100,7.51,1,0.51,Não,3,Risco Muito Baixo,Muito Baixa,Baixo,True,Curto
22.0,88000,Alugada,6.0,,B,28000,9.91,1,0.32,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
21.0,12000,Propria,0.0,Pessoal,C,4200,13.48,1,0.35,Sim,4,Risco Médio-Baixo,Muito Baixa,Baixo,False,Curto
22.0,12000,Propria,6.0,Consolidação de dívidas,A,4750,7.14,1,0.4,Não,2,Risco Muito Baixo,Muito Baixa,Baixo,True,Muito Curto
24.0,83004,Alugada,0.0,,D,28000,15.99,1,0.34,Sim,4,Risco Médio,Alta,Alto,False,Curto
24.0,250000,Alugada,2.0,Educacão,C,18000,12.98,0,0.07,Sim,3,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
,250000,Alugada,4.0,,C,4800,13.57,0,0.02,Não,3,Risco Médio-Baixo,Muito Alta,Baixo,False,Curto
25.0,100000,Alugada,5.0,Consolidação de dívidas,B,28000,12.69,0,0.28,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
26.0,110000,Alugada,10.0,Educacão,A,28000,8.9,0,0.25,Não,2,Risco Muito Baixo,Muito Alta,Alto,False,Muito Curto
26.0,12000,Propria,0.0,Consolidação de dívidas,A,2700,,1,0.23,Não,4,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Curto
22.0,108000,Alugada,6.0,Educacão,B,28000,,1,0.26,Não,4,Risco Baixo,Muito Alta,Alto,False,Curto
23.0,151200,Alugada,7.0,Consolidação de dívidas,B,28000,11.11,0,0.19,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
24.0,69000,Alugada,2.0,Reforma,A,27600,,1,0.4,Não,2,Risco Muito Baixo,Alta,Alto,True,Muito Curto
21.0,12000,Financiada,5.0,Consolidação de dívidas,E,3250,15.68,1,0.27,Sim,3,Risco Médio-Alto,Muito Baixa,Baixo,False,Curto
22.0,70000,Alugada,4.0,Educacão,C,27500,13.06,1,0.39,Sim,3,Risco Médio-Baixo,Alta,Alto,False,Curto
22.0,240000,Propria,6.0,Pessoal,B,25000,,0,0.1,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
26.0,73200,Alugada,5.0,,D,27050,15.62,1,0.37,Sim,2,Risco Médio,Alta,Alto,False,Muito Curto
24.0,83000,Alugada,5.0,Pessoal,C,27000,13.49,1,0.33,Sim,2,Risco Médio-Baixo,Alta,Alto,False,Muito Curto
24.0,73399,Alugada,0.0,,D,27000,,1,0.37,Não,3,Risco Médio,Alta,Alto,False,Curto
23.0,62500,Alugada,7.0,Saúde,B,26000,11.71,1,0.42,Não,2,Risco Baixo,Média,Alto,True,Muito Curto
23.0,120000,Alugada,1.0,Educacão,B,25600,12.69,0,0.21,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
24.0,12360,Propria,2.0,Saúde,C,1600,13.57,0,0.13,Não,3,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Curto
22.0,60000,Alugada,0.0,,B,25475,10.99,1,0.42,Não,3,Risco Baixo,Média,Alto,True,Curto
25.0,234000,Financiada,3.0,Saúde,C,20000,14.27,0,0.09,Sim,4,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
24.0,234000,Propria,8.0,Reforma,B,20000,8.88,0,0.09,Não,4,Risco Baixo,Muito Alta,Alto,False,Curto
26.0,234000,Financiada,10.0,Reforma,B,21600,12.18,0,0.09,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
25.0,221004,Financiada,6.0,Consolidação de dívidas,D,11900,14.42,1,0.05,Sim,3,Risco Médio,Muito Alta,Médio,False,Curto
26.0,232500,Financiada,0.0,Saúde,C,25000,14.17,0,0.11,Sim,2,Risco Médio-Baixo,Muito Alta,Alto,False,Muito Curto
25.0,230000,Financiada,5.0,Saúde,C,35000,13.99,0,0.15,Não,4,Risco Médio-Baixo,Muito Alta,Muito Alto,False,Curto
23.0,83000,Alugada,7.0,Educacão,B,25300,10.99,1,0.3,Não,3,Risco Baixo,Alta,Alto,False,Curto
22.0,12600,Financiada,,Pessoal,A,2000,5.42,1,0.16,Não,4,Risco Muito Baixo,Muito Baixa,Muito Baixo,False,Curto
25.0,12600,Propria,3.0,Pessoal,C,1750,13.61,0,0.14,Não,3,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Curto
21.0,42500,Alugada,3.0,Educacão,C,25000,12.73,1,0.59,Sim,3,Risco Médio-Baixo,Baixa,Alto,True,Curto
24.0,41000,Alugada,2.0,Reforma,D,25000,,1,0.61,Não,3,Risco Médio,Baixa,Alto,True,Curto
25.0,12816,Propria,0.0,Consolidação de dívidas,C,3000,12.87,1,0.23,Sim,4,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Curto
24.0,12960,Financiada,1.0,Reforma,B,3650,9.91,1,0.28,Não,3,Risco Baixo,Muito Baixa,Baixo,False,Curto
26.0,226000,Financiada,4.0,Reforma,B,20000,11.49,0,0.09,Não,4,Risco Baixo,Muito Alta,Alto,False,Curto
25.0,225000,Financiada,0.0,Reforma,E,30000,19.91,0,0.13,Sim,2,Risco Médio-Alto,Muito Alta,Alto,False,Muito Curto
26.0,213000,Financiada,6.0,Educacão,B,35000,10.65,1,0.16,Não,2,Risco Baixo,Muito Alta,Muito Alto,False,Muito Curto
24.0,225000,Alugada,0.0,Saúde,B,6000,,0,0.03,Não,4,Risco Baixo,Muito Alta,Baixo,False,Curto
24.0,12960,Financiada,0.0,Consolidação de dívidas,B,4500,11.83,1,0.35,Não,4,Risco Baixo,Muito Baixa,Baixo,False,Curto
23.0,12996,Propria,0.0,Consolidação de dívidas,C,2400,13.49,1,0.18,Sim,2,Risco Médio-Baixo,Muito Baixa,Muito Baixo,False,Muito Curto
22.0,42000,Alugada,6.0,Saúde,D,25000,14.59,1,0.6,Sim,2,Risco Médio,Baixa,Alto,True,Muito Curto
26.0,48000,Alugada,2.0,Educacão,B,25000,9.64,1,0.52,Não,4,Risco Baixo,Baixa,Alto,True,Curto
25.0,12996,Propria,1.0,Saúde,D,3600,14.59,1,0.28,Não,3,Risco Médio,Muito Baixa,Baixo,False,Curto
22.0,12996,Propria,1.0,Educacão,B,4750,,1,0.37,Não,3,Risco Baixo,Muito Baixa,Baixo,False,Curto
25.0,42360,Alugada,1.0,Educacão,E,25000,16.35,1,0.59,Sim,3,Risco Médio-Alto,Baixa,Alto,True,Curto
21.0,49000,Alugada,4.0,Educacão,B,25000,10.99,1,0.51,Não,2,Risco Baixo,Baixa,Alto,True,Muito Curto
25.0,225000,Financiada,0.0,,F,25000,18.67,0,0.11,Não,2,Risco Alto,Muito Alta,Alto,False,Muito Curto
26.0,225000,Alugada,1.0,Educacão,A,3000,9.32,0,0.01,Não,4,Risco Muito Baixo,Muito Alta,Muito Baixo,False,Curto
23.0,225000,Alugada,8.0,Consolidação de dívidas,A,7500,8.63,0,0.03,Não,2,Risco Muito Baixo,Muito Alta,Médio,False,Muito Curto
26.0,225000,Financiada,2.0,,B,25000,10.08,0,0.11,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
22.0,49464,Alugada,5.0,Pessoal,B,25000,11.83,1,0.51,Não,3,Risco Baixo,Média,Alto,True,Curto
23.0,50000,Alugada,1.0,Consolidação de dívidas,A,25000,7.9,1,0.5,Não,3,Risco Muito Baixo,Média,Alto,True,Curto
25.0,50000,Alugada,4.0,Reforma,A,25000,5.99,1,0.5,Não,2,Risco Muito Baixo,Média,Alto,True,Muito Curto
24.0,44000,Alugada,2.0,Consolidação de dívidas,D,25000,15.33,1,0.57,Não,2,Risco Médio,Baixa,Alto,True,Muito Curto
23.0,50000,Alugada,1.0,,B,25000,11.83,1,0.5,Não,4,Risco Baixo,Média,Alto,True,Curto
22.0,50004,Alugada,0.0,,B,25000,10.36,1,0.5,Não,2,Risco Baixo,Média,Alto,True,Muito Curto
22.0,50004,Alugada,3.0,,C,25000,12.23,1,0.5,Não,3,Risco Médio-Baixo,Média,Alto,True,Curto
22.0,52000,Alugada,2.0,Educacão,B,25000,11.11,1,0.48,Não,4,Risco Baixo,Média,Alto,True,Curto
23.0,13200,Propria,3.0,Consolidação de dívidas,A,4950,7.9,1,0.38,Não,4,Risco Muito Baixo,Muito Baixa,Baixo,False,Curto
24.0,220000,Financiada,1.0,Educacão,B,25000,11.58,0,0.11,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
23.0,216000,Financiada,5.0,Consolidação de dívidas,A,21000,8.9,0,0.1,Não,3,Risco Muito Baixo,Muito Alta,Alto,False,Curto
25.0,216000,Financiada,2.0,Educacão,D,25000,16.07,0,0.12,Não,3,Risco Médio,Muito Alta,Alto,False,Curto
26.0,216000,Financiada,10.0,Educacão,C,20000,14.22,0,0.09,Sim,2,Risco Médio-Baixo,Muito Alta,Alto,False,Muito Curto
23.0,215000,Financiada,7.0,Saúde,C,35000,14.79,0,0.16,Sim,3,Risco Médio-Baixo,Muito Alta,Muito Alto,False,Curto
26.0,215000,Financiada,11.0,Educacão,A,12000,7.88,0,0.06,Não,2,Risco Muito Baixo,Muito Alta,Médio,False,Muito Curto
23.0,52000,Alugada,1.0,Pessoal,C,25000,13.22,1,0.48,Não,2,Risco Médio-Baixo,Média,Alto,True,Muito Curto
26.0,46000,Alugada,2.0,Consolidação de dívidas,D,25000,11.86,1,0.54,Não,4,Risco Médio,Baixa,Alto,True,Curto
22.0,53000,Alugada,5.0,Educacão,C,25000,13.43,1,0.47,Sim,4,Risco Médio-Baixo,Média,Alto,True,Curto
26.0,47000,Alugada,0.0,Reforma,D,25000,15.28,1,0.53,Sim,2,Risco Médio,Baixa,Alto,True,Muito Curto
23.0,47000,Alugada,1.0,,E,25000,17.93,1,0.53,Não,2,Risco Médio-Alto,Baixa,Alto,True,Muito Curto
23.0,13200,Financiada,2.0,Educacão,B,1400,9.25,0,0.11,Não,4,Risco Baixo,Muito Baixa,Muito Baixo,False,Curto
21.0,13200,Propria,0.0,,C,4500,12.98,1,0.34,Não,4,Risco Médio-Baixo,Muito Baixa,Baixo,False,Curto
22.0,210000,Financiada,6.0,,B,16000,10.62,0,0.08,Não,4,Risco Baixo,Muito Alta,Alto,False,Curto
26.0,210000,Propria,10.0,Pessoal,B,22000,11.83,0,0.1,Não,4,Risco Baixo,Muito Alta,Alto,False,Curto
26.0,48000,Alugada,5.0,,F,25000,18.43,1,0.52,Não,2,Risco Alto,Baixa,Alto,True,Muito Curto
22.0,54996,Alugada,6.0,Educacão,B,25000,,1,0.45,Não,4,Risco Baixo,Média,Alto,True,Curto
24.0,55000,Alugada,4.0,Reforma,D,25000,,1,0.45,Sim,4,Risco Médio,Média,Alto,True,Curto
23.0,55000,Alugada,4.0,Educacão,B,25000,11.36,1,0.45,Não,3,Risco Baixo,Média,Alto,True,Curto
23.0,55000,Alugada,4.0,Educacão,D,25000,15.65,1,0.45,Sim,3,Risco Médio,Média,Alto,True,Curto
24.0,55164,Alugada,8.0,Pessoal,C,25000,13.22,1,0.45,Sim,4,Risco Médio-Baixo,Média,Alto,True,Curto
26.0,56000,Alugada,4.0,Consolidação de dívidas,C,25000,12.87,1,0.45,Não,2,Risco Médio-Baixo,Média,Alto,True,Muito Curto
24.0,203500,Propria,8.0,Saúde,C,20000,13.04,0,0.1,Não,3,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
23.0,190000,Financiada,5.0,Educacão,F,22000,17.58,1,0.12,Sim,3,Risco Alto,Muito Alta,Alto,False,Curto
23.0,13920,Propria,2.0,Pessoal,E,7750,17.04,1,0.56,Não,4,Risco Médio-Alto,Muito Baixa,Médio,True,Curto
24.0,60000,Alugada,0.0,Pessoal,B,25000,10.99,1,0.42,Não,3,Risco Baixo,Média,Alto,True,Curto
24.0,60000,Alugada,2.0,Pessoal,B,25000,11.11,1,0.42,Não,3,Risco Baixo,Média,Alto,True,Curto
26.0,54000,Alugada,7.0,Consolidação de dívidas,D,25000,14.83,1,0.46,Sim,2,Risco Médio,Média,Alto,True,Muito Curto
23.0,14000,Propria,2.0,Consolidação de dívidas,D,4000,,1,0.29,Não,3,Risco Médio,Muito Baixa,Baixo,False,Curto
24.0,200000,Alugada,8.0,Saúde,B,12000,12.69,0,0.06,Não,2,Risco Baixo,Muito Alta,Médio,False,Muito Curto
24.0,200000,Financiada,8.0,Reforma,C,12000,13.49,0,0.06,Não,2,Risco Médio-Baixo,Muito Alta,Médio,False,Muito Curto
21.0,200000,Financiada,5.0,Educacão,C,16000,14.65,0,0.08,Não,4,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
25.0,54000,Alugada,3.0,Reforma,E,25000,16.82,1,0.46,Não,4,Risco Médio-Alto,Média,Alto,True,Curto
23.0,60000,Alugada,3.0,Pessoal,C,25000,12.73,1,0.42,Não,3,Risco Médio-Baixo,Média,Alto,True,Curto
23.0,60000,Alugada,7.0,Pessoal,B,25000,10.25,1,0.42,Não,4,Risco Baixo,Média,Alto,True,Curto
21.0,60000,Alugada,6.0,Educacão,B,25000,10.99,1,0.42,Não,4,Risco Baixo,Média,Alto,True,Curto
25.0,61959,Alugada,9.0,Saúde,C,25000,12.73,1,0.4,Não,2,Risco Médio-Baixo,Média,Alto,True,Muito Curto
22.0,56400,Alugada,2.0,Reforma,D,25000,14.96,1,0.44,Sim,3,Risco Médio,Média,Alto,True,Curto
23.0,200000,Financiada,7.0,Educacão,A,28000,,0,0.14,Não,2,Risco Muito Baixo,Muito Alta,Alto,False,Muito Curto
21.0,200000,Financiada,2.0,Consolidação de dívidas,C,25000,13.99,0,0.13,Não,2,Risco Médio-Baixo,Muito Alta,Alto,False,Muito Curto
24.0,200000,Financiada,3.0,,A,24000,7.49,0,0.12,Não,4,Risco Muito Baixo,Muito Alta,Alto,False,Curto
26.0,200000,Financiada,4.0,Educacão,C,15000,14.79,0,0.07,Não,3,Risco Médio-Baixo,Muito Alta,Médio,False,Curto
25.0,200000,Financiada,2.0,Consolidação de dívidas,B,15500,11.99,0,0.08,Não,2,Risco Baixo,Muito Alta,Alto,False,Muito Curto
24.0,200000,Alugada,8.0,Educacão,A,10000,8.49,0,0.05,Não,4,Risco Muito Baixo,Muito Alta,Médio,False,Curto
24.0,66000,Alugada,3.0,Educacão,B,25000,9.91,1,0.38,Não,2,Risco Baixo,Alta,Alto,False,Muito Curto
22.0,66000,Alugada,6.0,Educacão,C,25000,13.06,1,0.38,Sim,3,Risco Médio-Baixo,Alta,Alto,False,Curto
22.0,200000,Financiada,6.0,Consolidação de dívidas,A,9000,6.17,0,0.04,Não,4,Risco Muito Baixo,Muito Alta,Médio,False,Curto
,200000,Financiada,4.0,Educacão,B,6000,11.86,0,0.03,Não,2,Risco Baixo,Muito Alta,Baixo,False,Muito Curto
25.0,200000,Alugada,5.0,Educacão,D,18000,16.32,0,0.09,Não,3,Risco Médio,Muito Alta,Alto,False,Curto
25.0,200000,Financiada,2.0,,B,12000,10.38,0,0.06,Não,2,Risco Baixo,Muito Alta,Médio,False,Muito Curto
25.0,200000,Financiada,9.0,Pessoal,C,23050,14.35,0,0.12,Não,3,Risco Médio-Baixo,Muito Alta,Alto,False,Curto
24.0,200000,Financiada,8.0,Consolidação de dívidas,B,20000,,0,0.1,Não,3,Risco Baixo,Muito Alta,Alto,False,Curto
24.0,60000,Alugada,2.0,Consolidação de dívidas,E,25000,,1,0.42,Sim,2,Risco Médio-Alto,Média,Alto,True,Muito Curto
21.0,14400,Propria,0.0,Reforma,B,3000,,1,0.21,Não,4,Risco Baixo,Muito Baixa,Muito Baixo,False,Curto
26.0,66996,Alugada,10.0,Pessoal,D,25000,15.21,1,0.37,Sim,2,Risco Médio,Alta,Alto,False,Muito Curto
23.0,67000,Alugada,3.0,Educacão,A,25000,7.9,1,0.37,Não,4,Risco Muito Baixo,Alta,Alto,False,Curto
24.0,67000,Alugada,2.0,,B,25000,10.99,1,0.37,Não,3,Risco Baixo,Alta,Alto,False,Curto
24.0,68000,Alugada,5.0,Pessoal,D,25000,14.09,1,0.37,Sim,3,Risco Médio,Alta,Alto,False,Curto
25.0,69000,Alugada,9.0,Pessoal,D,25000,17.49,1,0.36,Não,2,Risco Médio,Alta,Alto,False,Muito Curto
25.0,200000,Financiada,0.0,Educacão,B,12000,11.48,0,0.06,Não,3,Risco Baixo,Muito Alta,Médio,False,Curto
26.0,188000,Financiada,10.0,,E,20000,17.74,1,0.11,Não,2,Risco Médio-Alto,Muito Alta,Alto,False,Muito Curto
26.0,200000,Financiada,4.0,Pessoal,C,3000,13.92,0,0.01,Não,3,Risco Médio-Baixo,Muito Alta,Muito Baixo,False,Curto
25.0,69996,Alugada,9.0,Educacão,D,25000,15.21,1,0.36,Não,3,Risco Médio,Alta,Alto,False,Curto
22.0,14400,Propria,2.0,Saúde,B,4000,10.99,1,0.28,Não,3,Risco Baixo,Muito Baixa,Baixo,False,Curto
